"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
412,"p003","director",1,12,77,226979,"p043","diamond_red","diamond","","",NA,1509.19999999995,"fixed_associations","p003-p043","red",NA
414,"p003","director",1,14,84,240573,"p043","cross_pink","cross","","",NA,1212.90000000014,"fixed_associations","p003-p043","pink",NA
416,"p003","director",1,16,91,255342,"p043","square_grey","square","","",NA,1269.39999999991,"fixed_associations","p003-p043","grey",NA
418,"p003","director",1,18,98,268268,"p043","diamond_red","diamond","","",NA,1420.39999999991,"fixed_associations","p003-p043","red",NA
420,"p003","director",1,20,105,280694,"p043","cross_pink","cross","","",NA,1081.5,"fixed_associations","p003-p043","pink",NA
422,"p003","director",1,22,112,293230,"p043","square_grey","square","","",NA,1301.39999999991,"fixed_associations","p003-p043","grey",NA
424,"p003","director",1,24,119,306069,"p043","star_yellow","star","","",NA,1201.39999999991,"fixed_associations","p003-p043","yellow",NA
426,"p003","director",1,26,126,318810,"p043","cross_pink","cross","","",NA,1167.5,"fixed_associations","p003-p043","pink",NA
428,"p003","director",1,28,133,331390,"p043","star_yellow","star","","",NA,1173.90000000014,"fixed_associations","p003-p043","yellow",NA
430,"p003","director",1,30,140,344020,"p043","diamond_red","diamond","","",NA,1396.30000000005,"fixed_associations","p003-p043","red",NA
432,"p003","director",1,32,147,355744,"p043","square_grey","square","","",NA,834.799999999814,"fixed_associations","p003-p043","grey",NA
434,"p003","director",1,34,154,367365,"p043","square_grey","square","","",NA,1187.69999999995,"fixed_associations","p003-p043","grey",NA
436,"p003","director",1,36,161,379507,"p043","cross_pink","cross","","",NA,1133.69999999995,"fixed_associations","p003-p043","pink",NA
438,"p003","director",1,38,168,392175,"p043","star_yellow","star","","",NA,1480.19999999995,"fixed_associations","p003-p043","yellow",NA
440,"p003","director",1,40,175,404880,"p043","diamond_red","diamond","","",NA,1262,"fixed_associations","p003-p043","red",NA
442,"p003","director",1,42,182,416738,"p043","cross_pink","cross","","",NA,960.5,"fixed_associations","p003-p043","pink",NA
444,"p003","director",1,44,189,429020,"p043","diamond_red","diamond","","",NA,1240.80000000005,"fixed_associations","p003-p043","red",NA
446,"p003","director",1,46,196,440914,"p043","square_grey","square","","",NA,1181.60000000009,"fixed_associations","p003-p043","grey",NA
448,"p003","director",1,48,203,452832,"p043","star_yellow","star","","",NA,1158.5,"fixed_associations","p003-p043","yellow",NA
450,"p003","director",1,50,210,465010,"p043","square_grey","square","","",NA,1117.80000000005,"fixed_associations","p003-p043","grey",NA
